DATE,TMAX,PRCP,TMIN
2023-10-27,24.0,   71,11.547093609031144
2023-10-26,24.3,    0,12.2
2023-10-25,25.1,    0,11.780426942364478
2023-10-24,24.0,    0,11.8
2023-10-23,23.7,    0,11.5
2023-10-22,20.4,    0,9.6
2023-10-21,19.2,    0,12.482941487243107
2023-10-20,25.3,   10,12.55920516988656
2023-10-19,26.7,    0,15.1
2023-10-18,25.9,    0,13.0
2023-10-17,25.2,    0,12.774214665712966
2023-10-16,25.6,    0,14.5
2023-10-15,23.7,  130,13.261636132284263
2023-10-14,21.9,   51,14.5
2023-10-13,25.0,    0,12.7
2023-10-12,24.8,    0,13.98176119977747
2023-10-11,24.8,    0,14.35176119977747
2023-10-10,24.8,    0,14.569943017959288
2023-10-09,21.5,  140,15.4
2023-10-08,21.3,   51,14.75651015497985
2023-10-07,23.6,    0,14.6
2023-10-06,23.5,    0,15.455997557249407
2023-10-05,22.4,    0,15.73159731297435
2023-10-04,24.6,   89,18.8
2023-10-03,25.6,    0,15.4
2023-10-02,26.6,    0,18.144410502520362
2023-10-01,27.3,  180,19.017137775247633
2023-09-30,31.9,    0,20.0
2023-09-29,31.5,    0,20.31355846799925
2023-09-28,30.51538461538462,0,20.755154914431053
2023-09-27,32.7,0,21.48585513834986
2023-09-20,31.851098901098904,0,26.0
2023-09-19,34.1,    0,25.3
2023-09-18,34.4,   20,25.0
2023-09-17,34.6,    0,24.6
2023-09-16,36.4,    0,23.362880710065014
2023-09-15,34.6,    0,23.616990896903825
2023-09-14,33.0,    0,24.5
2023-09-13,32.7,    0,23.1
2023-09-12,32.2,    5,23.1
2023-09-11,31.3,   76,24.047987160696884
2023-09-10,33.6,   20,23.7
2023-09-09,33.3,    0,22.5
2023-09-08,31.5,   61,24.17649780576007
2023-09-07,33.53846153846154,0,24.232448496645695
2023-09-06,31.1,  170,24.441539405736602
2023-09-05,36.3,    0,24.68320607240327
2023-09-04,35.1,    0,27.0
2023-09-03,37.2,    0,25.2
2023-09-02,33.1,    0,25.0
2023-09-01,35.6,    0,25.7179762908112
2023-08-31,34.849112426035504,0,25.833940733256913
2023-08-30,33.6,    0,26.8
2023-08-29,36.5,    0,26.0
2023-08-28,36.1,    0,25.5
2023-08-20,34.82493660185968,0,27.6
2023-08-19,37.5,    0,27.5
2023-08-18,34.0,    0,26.2
2023-08-17,33.4,   71,25.8
2023-08-16,35.2,  429,24.7
2023-08-15,27.1, 1229,26.35
2023-08-14,35.6,   51,26.385
2023-08-13,37.8,    0,26.473499999999994
2023-08-12,38.9,    0,25.8
2023-08-11,36.4,    0,26.528045454545452
2023-08-10,35.02857142857143,0,26.578045454545457
2023-08-09,31.7,   30,28.0
2023-08-08,33.1,   51,26.4
2023-08-07,32.1,   10,26.79704924242424
2023-08-06,35.6,    0,26.831386679292933
2023-08-05,37.7,    0,28.0
2023-08-04,37.8,    0,27.7
2023-08-03,38.0,    0,26.8
2023-08-02,38.3,    0,26.1
2023-08-01,38.2,    0,26.869036326809763
2023-07-31,35.9,    0,26.8
2023-07-30,37.2,    0,26.8231094620079
2023-07-29,38.1,    0,26.713724699201265
2023-07-28,38.7,    0,27.3
2023-07-27,36.91428571428572,0,26.8
2023-07-26,38.9,    0,26.7
2023-07-25,36.6,    0,26.2
2023-07-24,36.0,    0,26.3
2023-07-23,36.6,    0,26.3
2023-07-22,35.1,    0,25.3
2023-07-21,35.8,    0,22.4
2023-07-20,33.4,    0,25.472727272727276
2023-07-19,33.9,    0,25.35206611570248
2023-07-18,35.6,    0,25.8
2023-07-17,37.7,    0,25.0
2023-07-16,36.1,   10,24.929526671675433
2023-07-15,34.1,    0,25.6
2023-07-14,32.7,    0,23.8
2023-07-13,28.4,  191,24.641301823645925
2023-07-12,33.7,   51,24.565717691911257
2023-07-11,35.0,    0,24.0
2023-07-10,33.6,   51,24.157867835202968
2023-07-09,28.9,  130,25.2
2023-07-08,30.0,    0,22.560444304614556
2023-07-07,36.8,   10,23.0
2023-07-06,35.1,    0,22.9
2023-07-05,28.6,  201,19.98945725742989
2023-07-04,36.3,    0,22.1
2023-07-03,32.9,    0,17.93706994520431
2023-04-18,21.3,    5,8.2
2023-04-17,17.8,   10,15.27391429227073
2023-04-16,20.6,   30,13.915418576531149
2023-04-15,24.199999999999996,  300,12.9
2023-04-14,22.9,    0,10.3
